name,price,Socket,Clockspeed,Turbo Speed,Threads,Cores,Typical TDP,mt_score,st_score,class_Desktop,class_Laptop,class_Server,brand_Amd,brand_Intel
Xeon E5-2682 v4 ,,FCLGA2011-3 ,2.5,3.0,32,16,120,19634,1825,0,0,1,0,1
EPYC 7351P,1621.0,SP3 ,2.4,2.9,32,16,155,19589,1876,0,0,1,1,0
Core i7-10700KF ,359.99,FCLGA1200 ,3.8,5.1,16,8,125,19575,3094,1,0,0,0,1
Xeon Gold 6132 ,2142.0,FCLGA3647 ,2.6,3.7,28,14,140,19552,2177,0,0,1,0,1
Core i9-9900KS ,1965.0,FCLGA1151-2 ,4.0,5.0,16,8,127,19478,3037,1,0,0,0,1
Xeon E5-2698 v3 ,3405.95,LGA2011-v3 ,2.3,3.6,32,16,135,19405,2002,0,0,1,0,1
Xeon W-2245 ,729.99,FCLGA2066 ,3.9,4.7,16,8,155,19384,2753,0,0,1,0,1
Xeon Gold 6137 ,,FCLGA-3647 ,3.9,4.1,16,16,205,19365,2499,0,0,1,0,1
Core i7-7900X ,,FCLGA2066 ,3.3,4.3,20,10,140,19358,2610,1,0,0,0,1
Xeon E5-2695 v4 ,7183.0,FCLGA2011-3 ,2.1,3.3,36,18,120,19299,1863,0,0,1,0,1
Xeon Gold 6126 ,1539.95,FCLGA3647 ,2.6,3.7,24,12,125,19223,2019,0,0,1,0,1
Ryzen 9 4900H,,FP6 ,3.3,4.4,16,8,45,19094,2719,0,1,0,1,0
Ryzen 7 4800H,,FP6 ,2.9,4.2,16,8,45,19069,2662,0,1,0,1,0
Ryzen 7 4800HS,,FP6 ,2.9,4.2,16,8,45,19039,2637,0,1,0,1,0
Xeon E5-2697A v4 ,,FCLGA2011-3 ,2.6,3.6,32,16,145,18996,2184,0,0,1,0,1
Xeon E5-2676 v4 ,,FCLGA2011-3 ,2.4,3.0,32,16,145,18978,1730,0,0,1,0,1
Ryzen 5 3600XT,347.0,AM4 ,3.8,4.5,12,6,95,18929,2810,1,0,0,1,0
Core i9-9900KF ,329.99,FCLGA1151-2 ,3.6,5.0,16,8,95,18924,3005,1,0,0,0,1
Core i9-9900K ,357.46,FCLGA1151-2 ,3.6,5.0,16,8,95,18871,2978,1,0,0,0,1
Xeon D-2187NT ,1989.0,FCBGA2518 ,2.0,3.0,32,16,110,18727,1763,0,0,1,0,1
Xeon Gold 6144 ,3181.17,FCLGA3647 ,3.5,4.2,16,8,150,18656,2523,0,0,1,0,1
Xeon Gold 6130 ,1813.95,FCLGA3647 ,2.1,3.7,32,16,125,18634,1859,0,0,1,0,1
Xeon Silver 4216 ,930.23,FCLGA3647 ,2.1,3.2,32,16,100,18561,1667,0,0,1,0,1
Xeon E5-2680 v4 ,598.99,FCLGA2011-3 ,2.4,3.3,28,14,120,18424,1947,0,0,1,0,1
Xeon D-2183IT ,1764.0,FCBGA2518 ,2.2,3.0,32,16,100,18385,1728,0,0,1,0,1
Xeon E5-2697 v3 ,632.99,LGA2011-v3 ,2.6,3.6,28,14,145,18362,1966,0,0,1,0,1
Xeon W-2145 ,1471.99,FCLGA2066 ,3.7,4.5,16,8,140,18339,2643,0,0,1,0,1
Ryzen 5 3600X,403.46,AM4 ,3.8,4.4,12,6,95,18333,2678,1,0,0,1,0
Ryzen 7 Extreme Edition,,FP6 ,1.8,4.2,16,8,nan,18284,2677,0,1,0,1,0
Core i7-9800X ,449.95,FCLGA2066 ,3.8,4.5,16,8,165,18281,2638,1,0,0,0,1
Xeon W-1270P ,428.0,FCLGA1200 ,3.8,5.1,16,8,95,18079,3104,0,0,1,0,1
Xeon E5-2683 v4 ,499.0,FCLGA2011-3 ,2.1,3.0,32,16,120,18017,1673,0,0,1,0,1
Ryzen 5 PRO 3600,,AM4 ,3.6,3.6,12,6,65,17985,2601,1,0,0,1,0
Ryzen 5 3600,317.98,AM4 ,3.6,4.2,12,6,65,17865,2585,1,0,0,1,0
Xeon E5-2687W v4 ,2174.99,FCLGA2011-3 ,3.0,3.5,24,12,160,17791,2130,0,0,1,0,1
Xeon E5-2686 v3 ,,LGA2011-v3 ,2.0,3.5,36,18,120,17678,1862,0,0,1,0,1
Xeon E5-2690 v4 ,534.72,FCLGA2011-3 ,2.6,3.5,28,14,135,17678,2072,0,0,1,0,1
Ryzen 7 2700X,289.99,AM4 ,3.7,4.3,16,8,105,17595,2438,1,0,0,1,0
Xeon Gold 5120T ,1727.0,FCLGA3647 ,2.2,3.2,28,14,105,17540,1827,0,0,1,0,1
Xeon E5-2673 v4 ,1950.0,FCLGA2011-3 ,2.3,3.3,40,20,135,17533,1909,0,0,1,0,1
Core i7-10700 ,349.99,FCLGA1200 ,2.9,4.8,16,8,65,17476,2936,1,0,0,0,1
Core i7-7820X ,913.92,FCLGA2066 ,3.6,4.3,16,8,140,17450,2548,1,0,0,0,1
Core i7-6950X ,939.99,LGA2011-v3 ,3.0,4.0,20,10,140,17423,2400,1,0,0,0,1
Xeon E-2278G ,494.0,FCLGA1151-2 ,3.4,5.0,16,8,80,17386,3041,0,0,1,0,1
Xeon W-2140B ,,FCLGA2066 ,3.2,4.2,16,8,nan,17313,2519,0,0,1,0,1
Ryzen 7 4800U,,FP6 ,1.8,4.2,16,8,15,17240,2599,0,1,0,1,0
Xeon E-2278GE ,494.0,FCLGA1151-2 ,3.3,4.7,16,8,80,17210,2754,0,0,1,0,1
Ryzen 5 4600G,,AM4 ,3.7,4.2,12,6,65,17197,2707,1,0,0,1,0
Core i9-9900 ,396.95,FCLGA1151-2 ,3.1,5.0,16,8,65,17174,2897,1,0,0,0,1
Xeon E5-2658 ,1462.0,LGA2011 ,2.1,2.4,16,8,95,6073,1156,0,0,1,0,1
Opteron 6344,379.0,,2.6,3.2,1,1,115,6069,1231,0,0,1,1,0
Core i5-6600 ,262.13,LGA 1151 ,3.3,3.9,4,4,65,6061,2261,1,0,0,0,1
Core i5-8250U ,, FC-BGA1356 ,1.6,3.4,8,4,15,6054,1979,0,1,0,0,1
Xeon E3-1220 v6 ,214.97,FCLGA1151 ,3.0,3.5,4,4,72,6048,2072,0,0,1,0,1
Core i7-4900MQ ,586.67,FCPGA946 ,2.8,3.8,8,4,47,6042,1970,0,1,0,0,1
FX-9370 Eight-Core,619.0,AM3+ ,4.4,4.7,8,8,220,6026,1681,1,0,0,1,0
Xeon E3-1265L v3 ,699.95,FCLGA1150 ,2.5,3.7,8,4,45,6019,2005,0,0,1,0,1
Core i7-5700HQ ,,FCBGA1364 ,2.7,3.5,8,4,47,5996,2007,0,1,0,0,1
