name,price,Class,Socket,Clockspeed,Turbo Speed,Threads,Cores,Typical TDP,mt_score,st_score,brand
Xeon E3-1205 v6 ,193.0,Server,FCLGA1151 ,3.0,,4,4,65,5682,1875,Intel
Core i7-3720QM ,363.0,Laptop,BGA1224 ,2.6,3.6,8,4,45,5659,1849,Intel
Core i5-6500 ,199.98,Desktop,LGA 1151 ,3.2,3.6,4,4,65,5658,2123,Intel
Xeon D-1559 ,,Server,FCBGA1667 ,1.5,2.1,24,12,45,5647,569,Intel
Core i7-4720HQ ,,Laptop,BGA1364 ,2.6,3.6,8,4,47,5641,1840,Intel
Opteron 6238,349.89,Server,Socket G34 ,2.6,3.2,1,1,115,5625,1157,Amd
Core i7-3820QM ,285.0,Laptop,BGA1224 ,2.7,3.7,8,4,45,5625,1943,Intel
Core i5-7440HQ ,,Laptop,BGA1440 ,2.8,3.8,4,4,45,5625,2012,Intel
Core i7-4722HQ ,,Laptop,FCBGA1364 ,2.4,3.4,8,4,37,5620,1844,Intel
Core i5-4690 ,175.0,Desktop,LGA1150 ,3.5,3.9,4,4,84,5612,2200,Intel
Core i5-6600T ,289.95,Desktop,LGA 1151 ,2.7,3.5,4,4,35,5595,2121,Intel
Core i5-6402P ,189.99,Desktop,LGA 1151 ,2.8,3.4,4,4,65,5586,2062,Intel
Core i5-4690K ,189.99,Desktop,LGA1150 ,3.5,3.9,4,4,88,5583,2190,Intel
Core i3-9100T ,122.0,Desktop,FCLGA1151-2 ,3.1,3.7,4,4,35,5574,2186,Intel
Xeon W-2102 ,286.99,Server,FCLGA2066 ,2.9,,4,4,120,5574,1788,Intel
Opteron 6376,298.89,Server,Socket G34 ,2.3,3.2,1,1,115,5572,1165,Amd
Xeon E5-2643 ,2360.0,Server,LGA2011 ,3.3,3.5,8,4,130,5557,1671,Intel
Core i5-5575R ,,Desktop,LGA1150 ,2.8,3.3,4,4,65,5550,2052,Intel
Xeon E5-2450L ,39.99,Server,LGA 1356 ,1.8,2.3,16,8,70,5538,971,Intel
Core i7-10510Y ,403.0,Laptop,UTFCBGA1377 ,1.2,4.5,8,4,7,5523,2102,Intel
Core i7-3770T ,329.99,Desktop,LGA1155 ,2.5,3.7,8,4,45,5511,1954,Intel
Core i5-7400 ,169.99,Desktop,FCLGA1151 ,3.0,3.5,4,4,65,5504,2108,Intel
Core i5-4670K ,399.95,Desktop,LGA1150 ,3.4,3.8,4,4,84,5502,2141,Intel
Ryzen Embedded V1404I,,Desktop,,2.0,3.6,8,4,15,5491,1932,Amd
Core i7-4700HQ ,383.0,Laptop,FCBGA1364 ,2.4,3.4,8,4,47,5490,1766,Intel
Xeon E3-1280 ,358.0,Server,LGA1155 ,3.5,3.9,8,4,95,5490,1807,Intel
Core i7-2700K ,223.0,Desktop,LGA1155 ,3.5,3.9,8,4,95,5487,1776,Intel
Core i7-4710HQ ,378.0,Laptop,FCBGA1364 ,2.5,3.5,8,4,47,5477,1790,Intel
Xeon E5-2630L ,,Server,LGA 2011 ,2.0,2.5,12,6,60,5476,1164,Intel
Core i5-4670 ,313.56,Desktop,LGA1150 ,3.4,3.8,4,4,84,5473,2150,Intel
Xeon E3-1220 v5 ,150.0,Server,FCLGA1151 ,3.0,3.5,4,4,80,5463,1956,Intel
Core i5-760S ,,,,2.5,3.3,4,4,nan,5440,1578,Intel
Core i7-2600K ,312.77,Desktop,LGA1155 ,3.4,3.8,8,4,95,5434,1734,Intel
Xeon X5687 ,149.95,Server,LGA1366 ,3.6,3.9,8,4,130,5387,1548,Intel
Core i7-4750HQ ,,Laptop,FCBGA1364 ,2.0,3.2,8,4,47,5384,1698,Intel
Core i7-4702HQ ,,Laptop,FCBGA1364 ,2.2,3.2,8,4,37,5382,1688,Intel
Core i5-7500T ,374.62,Desktop,FCLGA1151 ,2.7,3.3,4,4,35,5378,1997,Intel
Core i5-6440EQ ,,Laptop,FCBGA1440 ,2.7,3.4,4,4,45,5368,1943,Intel
Xeon E3-1226 v3 ,102.0,Server,FCLGA1150 ,3.3,3.7,4,4,84,5359,2064,Intel
FX-8320 Eight-Core,178.01,Desktop,AM3+ ,3.5,4.0,8,8,125,5351,1464,Amd
Ryzen 3 2300U,,Laptop,FP5 ,2.0,3.4,4,4,15,5345,1694,Amd
Core i5-4670R ,276.0,Desktop,FCBGA1364 ,3.0,3.7,4,4,65,5335,2164,Intel
Xeon E3-1275 ,294.0,Server,LGA1155 ,3.4,3.8,8,4,95,5335,1753,Intel
Core i7-2600 ,148.39,Desktop,LGA1155 ,3.4,3.8,8,4,95,5334,1734,Intel
Xeon E3-1268L v3 ,,Server,LGA1150 ,2.3,3.3,8,4,45,5333,1896,Intel
Core i5-1030NG7 ,,Laptop,BGA1526 ,1.1,3.5,8,4,10,5331,1663,Intel
Core i5-6500TE ,189.88,Desktop,LGA 1151 ,2.3,3.3,4,4,35,5329,1916,Intel
Core i3-8100T ,132.99,Desktop,FCLGA1151-2 ,3.1,,4,4,35,5319,1932,Intel
Xeon E3-1245 ,245.0,Server,LGA1155 ,3.3,3.7,8,4,95,5308,1737,Intel
Xeon E3-1270 ,305.0,Server,LGA1155 ,3.4,3.8,8,4,80,5304,1735,Intel
Core i7-4785T ,,Desktop,FCLGA1150 ,2.2,3.2,8,4,35,5302,1725,Intel
Core i7-4700MQ ,189.0,Laptop,rPGA946B ,2.4,3.4,8,4,47,5296,1784,Intel
Core i5-4590 ,341.87,Desktop,LGA1150 ,3.3,3.7,4,4,84,5296,2081,Intel
Opteron 6274,885.95,Server,G34 ,2.2,3.1,1,1,115,5286,849,Amd
Core i5-4690S ,359.21,Desktop,LGA1150 ,3.2,3.9,4,4,65,5283,2193,Intel
Core i7-4860EQ ,,Laptop,FCBGA1364 ,1.8,3.2,8,4,47,5280,1726,Intel
FX-8300 Eight-Core,158.02,Desktop,AM3+ ,3.3,4.2,8,8,95,5270,1480,Amd
Core i7-4712MQ ,,Laptop,FCPGA946 ,2.3,3.3,8,4,37,5269,1782,Intel
Xeon E5-2430L ,32.28,Server,FCLGA1356 ,2.0,2.5,12,6,60,5263,1060,Intel
Core i3-1005G1 ,281.0,Laptop,FCBGA1526 ,1.2,3.4,4,2,15,5246,2308,Intel
Core i5-8365UE ,297.0,Laptop,FCBGA1528 ,1.6,4.1,8,4,15,5243,2343,Intel
Core i7-6822EQ ,,Laptop,LGA 1151 ,2.0,2.8,8,4,25,5241,1572,Intel
Xeon X5677 ,110.0,Server,LGA1366 ,3.5,3.7,8,4,130,5226,1625,Intel
FX-8310 Eight-Core,,Desktop,AM3+ ,3.4,4.3,8,8,95,5215,1528,Amd
Xeon E3-1240 ,362.51,Server,LGA1155 ,3.3,3.7,8,4,80,5206,1718,Intel
Core i5-6440HQ ,,Laptop,LGA 1151 ,2.6,3.5,4,4,45,5204,2039,Intel
Core i7-4702MQ ,218.45,Laptop,FCPGA946 ,2.2,3.2,8,4,37,5200,1722,Intel
Xeon E3-1220 v3 ,399.95,Server,LGA1150 ,3.1,3.4,4,4,80,5195,1977,Intel
Xeon E5-2620 ,390.18,Server,LGA2011 ,2.0,2.5,12,6,95,5193,1107,Intel
Xeon E3-1225 v3 ,59.99,Server,LGA1150 ,3.2,3.6,4,4,84,5186,1999,Intel
Core i7-3615QE ,,Laptop,BGA1224 ,2.3,3.3,8,4,45,5174,1724,Intel
Core i5-6400 ,135.0,Desktop,LGA 1151 ,2.7,3.3,4,4,65,5163,1972,Intel
Core i5-4570 ,297.95,Desktop,LGA1150 ,3.2,3.6,4,4,84,5152,2020,Intel
Opteron 6272,193.59,Server,G34 ,2.1,3.0,1,1,115,5146,737,Amd
Xeon X5672 ,44.99,Server,LGA1366 ,3.2,3.6,8,4,95,5143,1537,Intel
Xeon E5-2420 ,380.01,Server,LGA1356 ,1.9,2.4,12,6,95,5136,1129,Intel
Core i7-3610QM ,399.99,Laptop,PGA988B ,2.3,3.3,8,4,45,5120,1652,Intel
Core i5-7300HQ ,,Laptop,,2.5,3.5,4,4,45,5113,1976,Intel
FX-8370E Eight-Core,310.09,Desktop,AM3+ ,3.3,4.3,8,8,95,5113,1440,Amd
Core i5-4590S ,305.22,Desktop,LGA1150 ,3.0,3.7,4,4,65,5093,2069,Intel
Core i7-3630QM ,229.0,Laptop,rPGA988B ,2.4,3.4,8,4,45,5088,1681,Intel
Opteron 6328,1818.0,Server,G34 ,3.2,3.8,8,8,115,5084,1376,Amd
Xeon Bronze 3204 ,252.99,Server,FCLGA3647 ,1.9,,6,6,85,5080,1093,Intel
Xeon E3-1240L v3 ,,Server,FCLGA1150 ,2.0,3.0,8,4,25,5062,1695,Intel
Core i5-4670S ,213.0,Desktop,FCLGA1150 ,3.1,3.8,4,4,65,5048,2110,Intel
Core i5-4670K CPT ,,Desktop,LGA1150 ,3.4,3.8,4,4,84,5034,2042,Intel
Pentium 4415U ,,Laptop,BGA1356 ,2.3,,4,2,15,2176,1259,Intel
Core m7-6Y75 ,,Laptop,FCBGA1515 ,1.2,3.1,4,2,7,2176,1360,Intel
 C2750 ,,Server,BGA 1283 ,2.4,2.6,8,8,20,2174,291,Amd
Core i5-4200U ,,Laptop,BGA1168 ,1.6,2.6,4,2,15,2171,1321,Intel
Core i3-5010U ,229.0,Laptop,FCBGA1168 ,2.1,,4,2,15,2167,1249,Intel
Core i3-2125 ,143.01,Desktop,LGA1155 ,3.3,,4,2,65,2167,1550,Intel
Xeon X3363 ,87.6,Server,LGA771 ,2.8,,4,4,80,2166,1232,Intel
Core i5-3337U ,225.0,Laptop,BGA1023 ,1.8,2.7,4,2,17,2159,1318,Intel
Core M-5Y71 ,281.0,Laptop,FCBGA1234 ,1.2,2.9,4,2,4.5,2158,1281,Intel
Xeon X3350 ,59.99,Server,LGA775 ,2.7,,4,4,95,2158,1156,Intel
A8-7200P,,Laptop,FP3 ,2.4,3.3,4,4,35,2156,1079,Amd
 E3950 ,,Laptop,BGA1296 ,1.6,2.0,4,4,12,2147,748,Amd
Athlon II X4 641 Quad-Core,79.86,Desktop,FM1 ,2.8,,4,4,100,2143,1192,Amd
Core i3-5020U ,459.0,Laptop,FCBGA1168 ,2.2,,4,2,15,2141,1232,Intel
Core i7-3517UE ,,Laptop,BGA1023 ,1.7,2.8,4,2,17,2141,1205,Intel
Phenom II X4 925,29.95,Desktop,AM3 ,2.8,,4,4,95,2137,1149,Amd
Core i5-2560M ,,,,2.7,3.4,4,2,nan,2131,1259,Intel
Athlon II X4 640,64.02,Desktop,AM3 ,3.0,,4,4,95,2130,1209,Amd
Pentium G3430 ,89.99,Desktop,FCLGA1150 ,3.3,,2,2,54,2129,1891,Intel
Pentium G3440 ,159.94,Desktop,LGA1150 ,3.3,,2,2,53,2127,1883,Intel
Pentium N4200 ,228.71,Laptop,FCBGA1296 ,1.1,2.5,4,4,6,2126,860,Intel
A8-3850 APU,126.41,Desktop,FM1 ,2.9,,4,4,100,2119,1182,Amd
Athlon X4 640,,,,3.0,,4,4,95,2115,1224,Amd
Core i5-2415M ,,Desktop,BGA1023 ,2.3,2.9,4,2,35,2111,1288,Intel
Core i7-3517U ,,Laptop,BGA1023 ,1.9,3.0,4,2,17,2109,1275,Intel
Celeron G3930T ,39.95,Desktop,FCLGA1151 ,2.7,,2,2,35,2109,1650,Intel
Phenom II X4 B25,,Desktop,AM2+/AM3 ,2.7,,4,4,nan,2108,1040,Amd
Pentium G3440T ,,Desktop,LGA1150 ,2.8,,2,2,35,2107,1615,Intel
Phenom II X4 B93,,Desktop,AM3 ,2.8,,4,4,95,2104,1141,Amd
Athlon II X4 631 Quad-Core,34.89,Desktop,FM1 ,2.6,,4,4,100,2095,1121,Amd
Core m5-6Y54 ,,Laptop,FCBGA1515 ,1.1,2.7,4,2,7,2093,1247,Intel
Opteron 1389,,Server,AM2 ,2.9,,4,4,75,2079,1102,Amd
Core2 Quad Q9505 ,190.0,Desktop,LGA775 ,2.8,,4,4,95,2079,1194,Intel
Athlon II X4 655,,,AM2+ (940-pin) ,3.3,,4,4,95,2078,1473,Amd
Core2 Quad Q9400 ,38.01,Desktop,LGA775 ,2.7,,4,4,95,2077,1146,Intel
Pentium 4405U ,,Laptop,FCBGA1356 ,2.1,,4,2,15,2076,1204,Intel
Opteron 2384,264.61,Server,F (1207) ,2.7,,4,4,75,2074,1074,Amd
A6-3650 APU,23.89,Desktop,FM1 ,2.6,,4,4,100,2074,1103,Amd
Athlon II X4 630,48.04,Desktop,AM3 ,2.8,,4,4,95,2066,1136,Amd
Phenom II X4 B45,,,,3.1,,4,4,nan,2065,1221,Amd
Opteron 3250 HE,99.0,Server,AM3+ ,2.5,3.5,4,4,45,2061,1003,Amd
Pentium G2140 ,81.56,Desktop,LGA1155 ,3.3,,2,2,55,2059,1837,Intel
Pentium G3260 ,167.17,Desktop,LGA1150 ,3.3,,2,2,53,2059,1875,Intel
Opteron 4162 EE,19.99,Server,F (1207) ,1.7,,6,6,35,2058,382,Amd
Xeon X3230 ,349.95,Server,LGA775 ,2.7,,4,4,95,2056,1082,Intel
 C2758 ,214.86,,BGA 1283 ,2.4,,8,8,20,2056,333,Amd
Xeon L5420 ,27.5,Server,LGA771 ,2.5,,4,4,50,2055,1099,Intel
Phenom II X4 920,27.89,Desktop,AM2+ ,2.8,,4,4,125,2051,1062,Amd
Core i7-640M ,189.95,Laptop,BGA1288 ,3.5,3.5,4,2,35,2050,1381,Intel
Xeon E3-1220L ,,Server,LGA1155 ,2.2,3.4,4,2,20,2050,1421,Intel
Core i3-5015U ,,Laptop,FCBGA1168 ,2.1,,4,2,15,2047,1128,Intel
A6-3670 APU,610.0,Desktop,FM1 ,2.7,,4,4,100,2045,1121,Amd
Pentium G3420T ,159.99,Desktop,LGA1150 ,2.7,,2,2,35,2044,1563,Intel
Pentium G3258 ,99.0,Desktop,FCLGA1150 ,3.2,,2,2,53,2039,1826,Intel
Core i3-3210 ,199.0,Desktop,LGA1155 ,3.2,,4,2,55,2036,1670,Intel
Core2 Quad Q6700 ,44.04,Desktop,LGA775 ,2.7,,4,4,105,2036,1082,Intel
Core2 Quad Q9450 ,35.7,Desktop,LGA775 ,2.7,,4,4,95,2035,1136,Intel
Phenom II X4 820,64.95,Desktop,AM3 ,2.8,,4,4,95,2034,1125,Amd
Celeron G3900E ,107.0,Laptop,FCBGA1440 ,2.4,,2,2,35,2034,1499,Intel
Core i3-5005U ,,Laptop,FCBGA1168 ,2.0,,4,2,15,2033,1169,Intel
Core i5-2450M ,68.02,Laptop,BGA1023 ,2.5,3.1,4,2,35,2033,1251,Intel
Core i3-2102 ,58.0,Desktop,FCLGA1155 ,3.1,,4,2,65,2029,1400,Intel
Xeon E7- 2830 ,1779.0,Server,LGA1567 ,2.1,2.4,4,4,105,2027,559,Intel
Athlon II X4 638 Quad-Core,26.49,Desktop,FM1 ,2.7,,4,4,65,2026,1182,Amd
Xeon X3330 ,210.0,Server,LGA775 ,2.7,,4,4,95,2021,1160,Intel
Core i5-655K ,59.99,Desktop,LGA1156 ,3.2,3.5,4,2,73,2017,1446,Intel
Pentium G3450T ,,Desktop,LGA1150 ,2.9,,2,2,35,2016,1135,Intel
Core2 Extreme Q9200 ,,Desktop,,2.4,,4,4,nan,2011,1080,Intel
A8-3820 APU,44.95,Desktop,FM1 ,2.5,2.8,4,4,65,2010,1097,Amd
Athlon II X4 635,59.95,Desktop,AM3 ,2.9,,4,4,95,2008,1166,Amd
Phenom II X4 910e,69.9,Desktop,AM3 ,2.6,,4,4,65,2006,1069,Amd
Core i7-2655LE ,,Desktop,BGA1023 ,2.2,2.9,4,2,25,1999,1231,Intel
A10-5757M APU,,Laptop,FP2 ,2.5,3.5,4,4,35,1997,1195,Amd
Opteron 2427,55.0,Server,F (1207) ,2.2,,6,6,75,1995,386,Amd
Pentium G3260T ,89.99,Desktop,LGA1150 ,2.9,,2,2,35,1993,1661,Intel
Pentium G3420 ,75.53,Desktop,FCLGA1150 ,3.2,,2,2,54,1990,1814,Intel
Core2 Quad Q8400 ,229.95,Desktop,LGA775 ,2.7,,4,4,95,1987,1144,Intel
Core i3-3220T ,100.0,Desktop,LGA1155 ,2.8,,4,2,35,1987,1543,Intel
Xeon X3320 ,229.5,Server,LGA775 ,2.5,,4,4,95,1986,1097,Intel
Xeon E5420 ,24.99,Server,LGA771 ,2.5,,4,4,80,1986,1080,Intel
Athlon X4 750 Quad Core,,Desktop,FM2 ,3.4,3.9,4,4,65,1986,1338,Amd
Core i3-2130 ,87.66,Desktop,LGA1155 ,3.4,,4,2,65,1984,1600,Intel
Core i5-2430M ,75.02,Laptop,PGA988B ,2.4,3.0,4,2,35,1982,1241,Intel
Core i3-3240T ,,Desktop,LGA1155 ,2.9,,4,2,35,1981,1517,Intel
Xeon X5355 ,37.99,Server,LGA771 ,2.7,,4,4,120,1979,1060,Intel
Core M-5Y31 ,,Laptop,FCBGA1234 ,0.9,2.4,4,2,4.5,1972,1082,Intel
A10-7400P,,Laptop,FP3 ,2.5,3.4,4,4,35,1969,1055,Amd
Celeron G3900TE ,42.0,Laptop,FCLGA1151 ,2.3,,2,2,35,1967,1442,Intel
Core i7-620M ,100.01,Laptop,BGA1288 ,3.3,3.3,4,2,35,1962,1289,Intel
Pentium G3250 ,30.0,Desktop,LGA1150 ,3.2,,2,2,53,1957,1817,Intel
Xeon L5410 ,100.08,Server,LGA771 ,2.3,,4,4,50,1956,1025,Intel
 E3900 ,,Laptop,,1.6,,4,4,nan,1953,675,Amd
Core2 Quad Q9300 ,71.0,Desktop,LGA775 ,2.5,,4,4,95,1952,1087,Intel
Celeron 4305UE ,,,FCBGA1528 ,2.0,,2,2,15,1950,1214,Intel
Core i3-4120U ,,Laptop,FCBGA1168 ,2.0,,4,2,15,1948,1177,Intel
Celeron J4025 ,,Desktop,FCBGA1090 ,2.0,2.9,2,2,10,1946,1335,Intel
Phenom 9850B Quad-Core,,,,2.5,,4,4,95,1946,992,Amd
Core i7-2637M ,,Laptop,BGA1023 ,1.7,2.8,4,2,17,1946,1259,Intel
Phenom II X3 B77,22.29,,AM2+/AM3 ,3.2,,3,3,95,1945,1342,Amd
Core i5-580M ,99.95,Laptop,BGA1288 ,3.3,3.3,4,2,35,1941,1307,Intel
 E3940 ,,Laptop,,1.6,1.8,4,4,9.5,1940,681,Amd
PRO A6-9500,74.0,Desktop,AM4 ,3.5,3.8,2,2,65,1938,1666,Amd
Xeon X6550 ,,Server,LGA1567 ,2.0,2.4,4,4,130,1936,390,Intel
Xeon E5603 ,129.04,Server,LGA1366 ,1.6,,4,4,80,1935,712,Intel
Core i5-3317U ,225.0,Laptop,BGA1023 ,1.7,2.6,4,2,17,1933,1232,Intel
Celeron N3450 ,185.08,Laptop,FCBGA1296 ,1.1,2.2,4,4,6,1933,765,Intel
Athlon II X4 620,54.95,Desktop,AM3 ,2.6,,4,4,95,1932,1054,Amd
Xeon E5507 ,456.91,Server,LGA1366 ,2.3,,4,4,80,1928,997,Intel
Pentium G2120 ,74.99,Desktop,FCLGA1155 ,3.1,,2,2,55,1926,1716,Intel
Xeon E5410 ,88.0,Server,LGA771 ,2.3,,4,4,80,1923,1024,Intel
Core2 Quad Q9100 ,385.89,Laptop,PGA478 ,2.3,,4,4,45,1923,1004,Intel
Core i5-2410M ,67.12,Laptop," 	FCBGA1023, PPG ",2.3,2.9,4,2,35,1921,1224,Intel
Opteron 3320 EE,646.0,Server,AM3+ ,1.9,2.5,4,4,25,1918,838,Amd
FX-7500 APU,,Laptop,FP3 ,2.1,3.3,4,4,19,1918,958,Amd
Core i3-4025U ,,Laptop,FCBGA1168 ,1.9,,4,2,15,1918,1080,Intel
Opteron X2170 APU,,Server,FT3 ,2.4,,4,4,25,1911,832,Amd
Core i5-3439Y ,,Desktop,BGA1023 ,1.5,2.3,4,2,13,1907,1197,Intel
Core i3-2120 ,135.0,Desktop,LGA1155 ,3.3,,4,2,65,1907,1521,Intel
Core i5-4422E ,266.0,Laptop,FCBGA1364 ,1.8,2.9,4,2,25,1907,1048,Intel
Core M-5Y10a ,,Laptop,FCBGA1234 ,0.8,2.0,4,2,4.5,1905,993,Intel
Athlon II X4 615e,59.0,Desktop,AM3 ,2.5,,4,4,45,1904,1076,Amd
Opteron 2419 EE,,Server,F (1207) ,1.8,,6,6,60,1902,396,Amd
Core i7-820QM ,129.0,Laptop,PGA988A ,1.7,3.1,8,4,45,1899,1108,Intel
Opteron 1385,69.99,Server,"AM2+,AM3 ",2.7,,4,4,115,1898,1035,Amd
Core i7-840QM ,289.97,Laptop,PGA988A ,1.9,3.2,8,4,45,1898,1125,Intel
Core2 Duo T8300 ,108.95,Laptop,BGA479 ,2.4,,2,2,35,875,102,Intel
on 64 Dual Core 5600+,,Desktop,AM2 ,2.9,,2,2,65,875,993,Amd
Pentium E5200 ,49.94,Desktop,LGA775 ,2.5,,2,2,65,869,100,Intel
Athlon II X2 4450e,,Desktop,AM2 ,2.3,,2,2,45,867,106,Amd
Core i3-2357M ,,Laptop,,1.3,,4,2,17,866,562,Intel
A4-9120e,,Laptop,FT4 ,1.5,2.2,2,2,nan,866,746,Amd
Core2 Duo L9600 ,,Laptop,BGA956 ,2.1,,2,2,17,865,837,Intel
Pentium P6000 ,,Laptop,PGA988 ,1.9,,2,2,35,865,782,Intel
Celeron E3400 ,29.0,Desktop,LGA775 ,2.6,,2,2,65,864,103,Intel
Core2 Duo E6600 ,18.91,Desktop,PLGA775 ,2.4,,2,2,65,864,944,Intel
Core i3-2365M ,,Laptop,BGA1023 ,1.4,,4,2,17,861,630,Intel
Core i3-2377M ,,Laptop,BGA1023 ,1.5,,4,2,17,861,651,Intel
Turion 64 X2 Mobile TL-68,90.0,Laptop,S1 ,2.4,,2,2,35,861,887,Amd
E2-3200 APU,7.99,Desktop,FM1 ,2.4,,2,2,65,859,950,Amd
E2-9000e,,Laptop,,1.5,2.0,2,2,6,857,749,Amd
Xeon 5140 ,24.99,Server,LGA771 ,2.3,,2,2,65,857,870,Intel
Athlon 64 X2 Dual Core 5400+,52.99,Desktop,AM2 ,2.8,,2,2,65,855,981,Amd
Athlon II X2 4300e,,,,2.6,,2,2,13,851,104,Amd
on 64 Dual Core 5000+,,Desktop,,2.6,,2,2,89,850,924,Amd
Pentium 3560Y ,,Laptop,BGA1168 ,1.2,,2,2,11.5,849,700,Intel
Turion II N530 Dual-Core,30.0,Laptop,S1 ,2.5,,2,2,35,844,962,Amd
A4-3310MX APU,,Laptop,FS1 ,2.1,2.3,2,2,45,844,849,Amd
Pentium P6100 ,28.44,Laptop,PGA988 ,2.0,,2,2,35,841,826,Intel
TurionX2 Ultra DualCore Mobile ZM-85,,Laptop,S1 ,2.3,,2,2,35,841,686,Amd
Opteron 275,11.46,Server,940 ,2.2,,2,2,95,839,445,Amd
Pentium E2220 ,85.99,Desktop,LGA775 ,2.4,,2,2,65,839,935,Intel
Core2 Duo P8800 ,56.99,Laptop,BGA479 ,2.7,,2,2,25,839,104,Intel
Xeon E5205 ,14.27,Server,LGA771 ,1.9,,2,2,65,838,788,Intel
Xeon E5502 ,95.0,Server,LGA1366 ,1.9,,2,2,80,837,799,Intel
Core i5-430UM ,,Laptop,BGA1288 ,1.7,1.7,4,2,18,836,630,Intel
Core2 Duo P8600 ,49.18,Laptop,BGA479 ,2.4,,2,2,25,833,945,Intel
Pentium B960 ,38.68,Laptop,PGA988 ,2.2,,2,2,35,832,893,Intel
Pentium B940 ,29.94,Laptop,PGA988 ,2.0,,2,2,35,828,856,Intel
Athlon Dual Core 5000B,95.0,Desktop,AM2 ,2.6,,2,2,65,827,933,Amd
Athlon Dual Core 5400B,,Desktop,AM2 ,2.8,,2,2,65,826,969,Amd
Sempron X2 180,69.4,,,2.4,,2,2,45,826,865,Amd
Athlon 7550 Dual-Core,14.95,Desktop,AM2+ ,2.5,,2,2,95,824,894,Amd
Xeon 3050 ,157.95,Server,LGA775 ,2.1,,2,2,65,822,474,Intel
Xeon 3065 ,20.9,Server,LGA775 ,2.3,,2,2,65,822,732,Intel
Core2 Duo E8135 ,,,,2.4,,2,2,-1,821,985,Intel
Phenom II P650 Dual-Core,35.0,Laptop,S1 ,2.6,,2,2,35,821,889,Amd
Core2 Duo P8400 ,297.01,Laptop,BGA479 ,2.3,,2,2,25,820,921,Intel
Turion II P560 Dual-Core,,Laptop,S1 ,2.5,,2,2,25,818,931,Amd
