name,price,Class,Socket,Clockspeed,Turbo Speed,Threads,Cores,Typical TDP,mt_score,st_score,brand
Athlon Dual Core 5600B,,Desktop,AM2+ ,2.9,,2,2,65,737,100,Amd
on 64 Dual Core 3800+,,,,2.0,,2,2,35,736,653,Amd
Pentium E2200 ,54.0,Desktop,LGA775 ,2.2,,2,2,65,735,843,Intel
Athlon Dual Core 4850e,39.0,Desktop,AM2 ,2.5,,2,2,45,735,879,Amd
Athlon 64 X2 Dual Core 4600+,349.95,Desktop,AM2 ,2.4,,2,2,65,734,857,Amd
Athlon 5200 Dual-Core,87.85,Desktop,AM2 ,2.7,,2,2,75,734,882,Amd
Opteron 1216,54.85,Server,AM2 ,2.4,,2,2,103,734,719,Amd
Core2 Duo T5870 ,,Laptop,"PPGA478, Socket  ",2.0,,2,2,35,733,780,Intel
Celeron 2961Y ,,Laptop,,1.1,,2,2,11.5,732,641,Intel
Turion X2 Ultra Dual-Core Mobile ZM-85,45.0,Laptop,S1 ,2.3,,2,2,35,730,828,Amd
Xeon 5150 ,93.99,Server,LGA771 ,2.7,,2,2,65,728,954,Intel
Athlon Dual Core 4850B,,Desktop,AM2+ ,2.5,,2,2,45,727,887,Amd
Opteron 1216 HE,,Server,AM2 ,2.4,,2,2,65,727,847,Amd
E2-3000 APU,,Laptop,FT3 ,1.7,,2,2,15,726,547,Amd
