name,price,Class,Socket,Clockspeed,Turbo Speed,Threads,Cores,Typical TDP,mt_score,st_score
AMD EPYC 7571,NA,Server,SP3 ,2.1,2.9,64 ,32,120W,27445,1934
Intel Xeon Platinum 8173M @ 2.00GHz,NA,Server,FCLGA3647 ,2.0,3.5,56 ,28,165W,27377,2123
Intel Xeon Gold 6210U @ 2.50GHz,"$2,059.86*",Server,FCLGA3647 ,2.5,3.9,40 ,20,150W,27131,2295
Intel Core i9-7960X @ 2.80GHz,"$1,600.00*",Desktop,FCLGA2066 ,2.8,4.2,32 ,16,165W,26959,2580
Intel Core i9-7940X @ 3.10GHz,"$1,489.95*",Desktop,FCLGA2066 ,3.1,4.3,28 ,14,165W,26819,2521
Intel Xeon Gold 6208U @ 2.90GHz,$989.00*,Server,FCLGA3647 ,2.9,3.9,32 ,16,150W,26677,2325
Intel Xeon Platinum 8175M @ 2.50GHz,NA,Server,FCLGA3647 ,2.5,,48 ,24,,26659,1903
AMD Ryzen Threadripper 1950X,"$1,115.00",Desktop,sTR4 ,3.4,4.0,32 ,16,180W,26543,2280
Intel Xeon Platinum 8160 @ 2.10GHz,"$4,489.00*",Server,FCLGA3647 ,2.1,3.7,48 ,24,150W,26485,1984
AMD EPYC 7272,$740.25,Server,SP3 ,2.9,3.2,24 ,12,120W,26454,2019
AMD EPYC 7401P,$844.39*,Server,SP3 ,2.0,3.0,48 ,24,155W3,26392,1795
Intel Xeon Gold 6154 @ 3.00GHz,"$3,659.82*",Server,FCLGA3647 ,3.0,3.7,36 ,18,200W,26298,2249
Intel Core i9-10920X @ 3.50GHz,$642.00,Desktop,FCLGA2066 ,3.5,4.8,24 ,12,165W,26292,2744
Intel Xeon W-2265 @ 3.50GHz,$944.00*,Server,FCLGA2066 ,3.5,4.6,24 ,12,165W,26085,2862
AMD EPYC 7551P,"$1,190.88",Server,SP3 ,2.0,3.0,64 ,32,180W,25933,1611
Intel Xeon Gold 5220 @ 2.20GHz,"$1,639.93",Server,FCLGA3647 ,2.2,3.9,36 ,18,125W,25740,2396
AMD Ryzen Threadripper 2920X,"$1,499.99",Desktop,sTR4 ,3.5,4.3,24 ,12,180W,25503,2501
Intel Xeon Platinum 8124M @ 3.00GHz,NA,Server,FCLGA3647 ,3.0,3.5,36 ,18,,25456,2084
Intel Core i9-9920X @ 3.50GHz,$650.00*,Desktop,FCLGA2066 ,3.5,4.5,24 ,12,165W,25352,2655
AMD EPYC 7501,"$3,049.00",Server,SP3 ,2.0,3.0,64 ,32,155W3,24925,1925
Intel Xeon Gold 6138T @ 2.00GHz,"$2,742.00*",Server,FCLGA3647 ,2.0,3.7,40 ,20,125W,24800,2050
Intel Xeon Gold 6143 @ 2.80GHz,NA,Server,FCLGA3647 ,2.8,4.0,32 ,16,205W,24786,2248
Intel Xeon W-3235 @ 3.30GHz,"$1,463.45",Server,FCLGA3647 ,3.3,4.5,24 ,12,180W,24592,2518
Intel Xeon E5-2699 v4 @ 2.20GHz,"$1,598.95",Server,FCLGA2011-3 ,2.2,3.6,44 ,22,145W,24472,1936
Intel Xeon Gold 6246 @ 3.30GHz,"$3,315.49*",Server,FCLGA3647 ,3.3,4.2,24 ,12,165W,24446,2450
AMD EPYC 7551,"$1,674.35",Server,SP3 ,2.0,3.0,64 ,32,180W,24320,1842
Intel Xeon Gold 6226R @ 2.90GHz,"$1,495.46",Server,FCLGA3647 ,2.9,3.9,32 ,16,150W,24258,2179
Intel Core i9-10900K @ 3.70GHz,$577.50,Desktop,FCLGA1200 ,3.7,5.3,20 ,10,125W3,24193,3176
Intel Xeon Gold 6148 @ 2.40GHz,"$3,217.99",Server,FCLGA3647 ,2.4,3.7,40 ,20,150W,24133,2056
Intel Xeon Gold 6138 @ 2.00GHz,"$2,679.99",Server,FCLGA3647 ,2.0,3.7,40 ,20,125W,24115,2224
Intel Xeon W-1290P @ 3.70GHz,$539.00*,Server,FCLGA1200 ,3.7,5.3,20 ,10,125W3,24086,3305
Intel Xeon Gold 6242 @ 2.80GHz,"$2,489.95*",Server,FCLGA3647 ,2.8,3.9,32 ,16,150W,24046,2081
