name,price,Class,Socket,Clockspeed,Turbo Speed,Threads,Cores,Typical TDP,mt_score,st_score
AMD Ryzen 3 PRO 3300U,NA,Laptop,FP5 ,2.1,3.5,4 ,4,15W3,5788,2068
AMD Opteron 4274 HE,$39.99*,Server,C32 ,2.5,2.8,8,8,65W,5776,1060
Intel Xeon E5-2440 @ 2.40GHz,$741.00*,Server,LGA 1356 ,2.4,2.7,12 ,6,95W,5766,1299
Intel Xeon E5-2430 @ 2.20GHz,$291.38,Server,LGA 1356 ,2.2,2.7,12 ,6,95W,5750,1215
Intel Xeon E3-1205 v6 @ 3.00GHz,$193.00*,Server,FCLGA1151 ,3.0,,4 ,4,65W,5682,1875
Intel Core i5-6500 @ 3.20GHz,$190.46,Desktop,LGA 1151 ,3.2,3.6,4 ,4,65W,5666,2125
Intel Core i7-3720QM @ 2.60GHz,$363.00*,Laptop,BGA1224 ,2.6,3.6,8 ,4,45W,5660,1850
Intel Core i5-7440HQ @ 2.80GHz,NA,Laptop,BGA1440 ,2.8,3.8,4 ,4,45W3,5659,2044
Intel Xeon D-1559 @ 1.50GHz,NA,Server,FCBGA1667 ,1.5,2.1,24 ,12,45W,5647,569
Intel Core i7-4720HQ @ 2.60GHz,NA,Laptop,BGA1364 ,2.6,3.6,8 ,4,47W,5642,1838
Intel Core i7-3740QM @ 2.70GHz,$218.02,Laptop,rPGA988B ,2.7,3.7,8 ,4,45W,5636,1851
AMD Opteron 6238,$349.89*,Server,Socket G34 ,2.6,3.2,1,1,115W,5625,1157
Intel Core i5-4690 @ 3.50GHz,$172.50,Desktop,LGA1150 ,3.5,3.9,4 ,4,84W,5623,2203
Intel Core i7-4722HQ @ 2.40GHz,NA,Laptop,FCBGA1364 ,2.4,3.4,8 ,4,37W,5620,1844
Intel Core i7-3820QM @ 2.70GHz,$275.00,Laptop,BGA1224 ,2.7,3.7,8 ,4,45W,5609,1915
Intel Core i5-6600T @ 2.70GHz,$289.95*,Desktop,LGA 1151 ,2.7,3.5,4 ,4,35W,5608,2123
Intel Core i3-9100T @ 3.10GHz,$122.00*,Desktop,FCLGA1151-2 ,3.1,3.7,4 ,4,35W3,5587,2194
Intel Core i5-4690K @ 3.50GHz,$220.98,Desktop,LGA1150 ,3.5,3.9,4 ,4,88W,5587,2193
Intel Xeon W-2102 @ 2.90GHz,$286.99*,Server,FCLGA2066 ,2.9,,4 ,4,120W,5574,1788
AMD Opteron 6376,$298.89*,Server,Socket G34 ,2.3,3.2,1,1,115W,5572,1165
Intel Xeon E5-2643 @ 3.30GHz,"$2,728.00",Server,LGA2011 ,3.3,3.5,8 ,4,130W,5557,1671
Intel Core i5-6402P @ 2.80GHz,$189.99*,Desktop,LGA 1151 ,2.8,3.4,4 ,4,65W,5554,2060
Intel Core i5-5575R @ 2.80GHz,NA,Desktop,LGA1150 ,2.8,3.3,4 ,4,65W,5550,2052
Intel Core i7-2700K @ 3.50GHz,$223.00,Desktop,LGA1155 ,3.5,3.9,8 ,4,95W,5538,1781
Intel Xeon E5-2450L @ 1.80GHz,$39.99*,Server,LGA 1356 ,1.8,2.3,16 ,8,70W,5538,971
Intel Core i7-10510Y @ 1.20GHz,$403.00*,Laptop,UTFCBGA1377 ,1.2,4.5,8 ,4,7W3,5523,2102
Intel Core i7-3770T @ 2.50GHz,$329.99*,Desktop,LGA1155 ,2.5,3.7,8 ,4,45W,5511,1954
Intel Core i7-4700HQ @ 2.40GHz,$383.00*,Laptop,FCBGA1364 ,2.4,3.4,8 ,4,47W,5510,1777
Intel Core i5-7400 @ 3.00GHz,$189.98,Desktop,FCLGA1151 ,3.0,3.5,4 ,4,65W,5508,2107
Intel Core i7-4710HQ @ 2.50GHz,$378.00*,Laptop,FCBGA1364 ,2.5,3.5,8 ,4,47W,5494,1799
AMD Ryzen Embedded V1404I,NA,Desktop,,2.0,3.6,8 ,4,15W3,5491,1932
Intel Xeon E3-1280 @ 3.50GHz,$358.00,Server,LGA1155 ,3.5,3.9,8 ,4,95W,5490,1807
Intel Xeon E5-2630L @ 2.00GHz,NA,Server,LGA 2011 ,2.0,2.5,12 ,6,60W,5476,1164
Intel Core i5-4670K @ 3.40GHz,$399.95*,Desktop,LGA1150 ,3.4,3.8,4 ,4,84W,5471,2136
Intel Core i5-4670 @ 3.40GHz,$313.56*,Desktop,LGA1150 ,3.4,3.8,4 ,4,84W,5465,2149
Intel Xeon E3-1220 v5 @ 3.00GHz,$150.00*,Server,FCLGA1151 ,3.0,3.5,4 ,4,80W,5463,1956
Intel Core i7-2600K @ 3.40GHz,$296.62*,Desktop,LGA1155 ,3.4,3.8,8 ,4,95W,5446,1734
Intel Core i7-4702HQ @ 2.20GHz,NA,Laptop,FCBGA1364 ,2.2,3.2,8 ,4,37W,5441,1717
Intel Core i5-760S @ 2.53GHz,NA,,,2.5,3.3,4 ,4,,5440,1578
Intel Core i7-4750HQ @ 2.00GHz,NA,Laptop,FCBGA1364 ,2.0,3.2,8 ,4,47W,5418,1703
Intel Core i5-1030NG7 @ 1.10GHz,NA,Laptop,BGA1526 ,1.1,3.5,8 ,4,10W,5416,1665
AMD FX-8320 Eight-Core,$179.58,Desktop,AM3+ ,3.5,4.0,8,8,125W,5375,1467
Intel Xeon X5687 @ 3.60GHz,$149.95,Server,LGA1366 ,3.6,3.9,8 ,4,130W,5371,1557
Intel Core i5-6440EQ @ 2.70GHz,NA,Laptop,FCBGA1440 ,2.7,3.4,4 ,4,45W,5368,1943
Intel Xeon E3-1275 @ 3.40GHz,$475.86,Server,LGA1155 ,3.4,3.8,8 ,4,95W,5365,1759
Intel Xeon E3-1226 v3 @ 3.30GHz,$102.00*,Server,FCLGA1150 ,3.3,3.7,4 ,4,84W,5359,2064
Intel Core i5-7500T @ 2.70GHz,$374.62*,Desktop,FCLGA1151 ,2.7,3.3,4 ,4,35W,5345,1990
Intel Core i7-2600 @ 3.40GHz,$175.63,Desktop,LGA1155 ,3.4,3.8,8 ,4,95W,5338,1734
Intel Core i7-4785T @ 2.20GHz,NA,Desktop,FCLGA1150 ,2.2,3.2,8 ,4,35W,5336,1733
Intel Core i5-4670R @ 3.00GHz,$276.00*,Desktop,FCBGA1364 ,3.0,3.7,4 ,4,65W,5335,2164
AMD Ryzen 3 2300U,NA,Laptop,FP5 ,2.0,3.4,4 ,4,15W3,5335,1698
Intel Xeon E3-1268L v3 @ 2.30GHz,NA,Server,LGA1150 ,2.3,3.3,8 ,4,45W,5333,1896
Intel Core i5-6500TE @ 2.30GHz,$230.60,Desktop,LGA 1151 ,2.3,3.3,4 ,4,35W,5329,1916
Intel Xeon E3-1245 @ 3.30GHz,$245.00,Server,LGA1155 ,3.3,3.7,8 ,4,95W,5323,1740
Intel Core i3-8100T @ 3.10GHz,$132.99,Desktop,FCLGA1151-2 ,3.1,,4 ,4,35W3,5319,1932
Intel Xeon E3-1270 @ 3.40GHz,$305.00*,Server,LGA1155 ,3.4,3.8,8 ,4,80W,5313,1741
Intel Core i7-4700MQ @ 2.40GHz,$189.00*,Laptop,rPGA946B ,2.4,3.4,8 ,4,47W,5300,1784
Intel Core i5-4590 @ 3.30GHz,$350.62,Desktop,LGA1150 ,3.3,3.7,4 ,4,84W,5293,2080
AMD Opteron 6274,$885.95,Server,G34 ,2.2,3.1,1,1,115W,5286,849
Intel Core i5-4690S @ 3.20GHz,$359.21*,Desktop,LGA1150 ,3.2,3.9,4 ,4,65W,5283,2193
Intel Core i7-4860EQ @ 1.80GHz,NA,Laptop,FCBGA1364 ,1.8,3.2,8 ,4,47W,5280,1726
AMD FX-8300 Eight-Core,$168.02,Desktop,AM3+ ,3.3,4.2,8,8,95W,5272,1474
Intel Xeon E5-2430L @ 2.00GHz,$32.28*,Server,FCLGA1356 ,2.0,2.5,12 ,6,60W,5263,1060
Intel Core i3-1005G1 @ 1.20GHz,$281.00*,Laptop,FCBGA1526 ,1.2,3.4,4 ,2,15W3,5262,2310
Intel Core i5-8365UE @ 1.60GHz,$297.00*,Laptop,FCBGA1528 ,1.6,4.1,8 ,4,15W3,5243,2343
Intel Core i7-4712MQ @ 2.30GHz,NA,Laptop,FCPGA946 ,2.3,3.3,8 ,4,37W,5243,1776
Intel Xeon E5-2620 @ 2.00GHz,$390.18*,Server,LGA2011 ,2.0,2.5,12 ,6,95W,5242,1113
Intel Core i7-6822EQ @ 2.00GHz,NA,Laptop,LGA 1151 ,2.0,2.8,8 ,4,25W,5241,1572
Intel Xeon X5677 @ 3.47GHz,$110.00*,Server,LGA1366 ,3.5,3.7,8 ,4,130W,5226,1625
Intel Xeon E3-1225 v3 @ 3.20GHz,$59.99*,Server,LGA1150 ,3.2,3.6,4 ,4,84W,5222,2007
Intel Core i5-6440HQ @ 2.60GHz,NA,Laptop,LGA 1151 ,2.6,3.5,4 ,4,45W,5211,2040
Intel Xeon E3-1240 @ 3.30GHz,$572.59,Server,LGA1155 ,3.3,3.7,8 ,4,80W,5206,1718
Intel Core i7-3615QE @ 2.30GHz,NA,Laptop,BGA1224 ,2.3,3.3,8 ,4,45W,5174,1724
Intel Core i7-4702MQ @ 2.20GHz,$218.45*,Laptop,FCPGA946 ,2.2,3.2,8 ,4,37W,5173,1710
Intel Core i5-4570 @ 3.20GHz,$297.95*,Desktop,LGA1150 ,3.2,3.6,4 ,4,84W,5160,2022
Intel Core i5-6400 @ 2.70GHz,$135.00*,Desktop,LGA 1151 ,2.7,3.3,4 ,4,65W,5149,1968
AMD Opteron 6272,$193.59*,Server,G34 ,2.1,3.0,1,1,115W,5146,737
Intel Xeon X5672 @ 3.20GHz,$44.99*,Server,LGA1366 ,3.2,3.6,8 ,4,95W,5143,1537
AMD FX-8310 Eight-Core,NA,Desktop,AM3+ ,3.4,4.3,8,8,95W,5142,1490
Intel Xeon E5-2420 @ 1.90GHz,$380.01*,Server,LGA1356 ,1.9,2.4,12 ,6,95W,5136,1110
AMD FX-8370E Eight-Core,$310.09*,Desktop,AM3+ ,3.3,4.3,8,8,95W,5113,1440
Intel Core i5-7300HQ @ 2.50GHz,NA,Laptop,,2.5,3.5,4 ,4,45W3,5110,1975
Intel Core i5-4590S @ 3.00GHz,$299.95*,Desktop,LGA1150 ,3.0,3.7,4 ,4,65W,5104,2069
Intel Core i7-3610QM @ 2.30GHz,$399.99*,Laptop,PGA988B ,2.3,3.3,8 ,4,45W,5099,1642
Intel Core i7-3630QM @ 2.40GHz,$229.00*,Laptop,rPGA988B ,2.4,3.4,8 ,4,45W,5096,1685
AMD Opteron 6328,"$1,818.00",Server,G34 ,3.2,3.8,8,8,115W,5084,1376
Intel Xeon Bronze 3204 @ 1.90GHz,$246.99*,Server,FCLGA3647 ,1.9,,6 ,6,85W,5080,1093
Intel Core i5-4670S @ 3.10GHz,$213.00*,Desktop,FCLGA1150 ,3.1,3.8,4 ,4,65W,5069,2119
Intel Xeon E3-1240L v3 @ 2.00GHz,NA,Server,FCLGA1150 ,2.0,3.0,8 ,4,25W,5062,1695
Intel Xeon E3-1220 v3 @ 3.10GHz,$399.95,Server,LGA1150 ,3.1,3.4,4 ,4,80W,5062,1965
AMD FX-8150 Eight-Core,$128.02,Desktop,AM3+ ,3.6,4.2,8,8,125W,5055,1391
Intel Core i5-4670K CPT @ 3.40GHz,NA,Desktop,LGA1150 ,3.4,3.8,4 ,4,84W,5034,2042
Intel Xeon E5-2430L v2 @ 2.40GHz,NA,Server,LGA 1356 ,2.4,2.8,12 ,6,60W,5014,668
Intel Xeon E3-1230 @ 3.20GHz,$417.95,Server,LGA1155 ,3.2,3.6,8 ,4,80W,5013,1675
Intel Xeon E3-1235L v5 @ 2.00GHz,NA,Server,FCLGA1151 ,2.0,3.0,4 ,4,25W,5013,1761
Intel Xeon E3-1290 @ 3.60GHz,$885.00*,Server,LGA1155 ,3.6,4.0,8 ,4,95W,4988,1833
Intel Xeon E5-1607 v3 @ 3.10GHz,NA,Server,LGA2011-v3 ,3.1,,4 ,4,140W,4982,1811
Intel Core i7-3615QM @ 2.30GHz,NA,Laptop,BGA1224 ,2.3,3.3,8 ,4,45W,4974,1647
Intel Core i5-4570S @ 2.90GHz,$179.98*,Desktop,LGA1150 ,2.9,3.6,4 ,4,65W,4964,2015
Intel Xeon E5645 @ 2.40GHz,$94.08,Server,LGA1366 ,2.4,2.7,12 ,6,80W,4963,1160
AMD FX-8140 Eight-Core,$148.86*,Desktop,AM3+ ,3.2,4.1,8,8,95W,4953,1336
Intel Core i5-3570K @ 3.40GHz,$110.00,Desktop,LGA1155 ,3.4,3.8,4 ,4,77W,4944,2049
Intel Core i7-4700EQ @ 2.40GHz,NA,Desktop,FCBGA1364 ,2.4,3.4,8 ,4,47W,4941,1842
Intel Core i7-4712HQ @ 2.30GHz,NA,Laptop,FCBGA1364 ,2.3,3.3,8 ,4,37W,4938,1623
Intel Core i5-10210Y @ 1.00GHz,NA,Laptop,UTFCBGA1377 ,1.0,4.0,8 ,4,7W3,4918,2108
AMD FX-8320E Eight-Core,$199.99*,Desktop,AM3+ ,3.2,4.0,8,8,95W,4915,1395
Intel Core i7-4765T @ 2.00GHz,$498.95,Desktop,FCLGA1150 ,2.0,3.0,8 ,4,35W,4913,1572
AMD Athlon 300GE,NA,Desktop,AM4 ,3.4,,4 ,2,35W,4905,2119
Intel Xeon Bronze 3104 @ 1.70GHz,$232.01,Server,FCLGA3647 ,1.7,,6 ,6,85W,4887,986
Intel Core i5-3570 @ 3.40GHz,$147.39,Desktop,LGA1155 ,3.4,3.8,4 ,4,77W,4886,2041
Intel Xeon E5649 @ 2.53GHz,$89.95*,Server,LGA1366 ,2.5,2.9,12 ,6,80W,4881,1170
Intel Core i3-7320 @ 4.10GHz,$182.72*,Desktop,FCLGA1151 ,4.1,,4 ,2,51W,4862,2430
AMD Opteron 6366 HE,$29.99*,Server,,1.8,2.3,1,1,85W,4858,793
Intel Xeon L5640 @ 2.27GHz,$89.95*,Server,LGA1366 ,2.8,2.8,12 ,6,60W,4841,1155
Intel Xeon E3-1505L v5 @ 2.00GHz,NA,,FCBGA1440 ,2.0,2.8,8 ,4,25W,4838,1635
Intel Xeon E5-1603 v4 @ 2.80GHz,NA,Server,FCLGA2011-3 ,2.8,,4 ,4,140W,4838,1752
Intel Core i5-7442EQ @ 2.10GHz,$250.00*,Laptop,FCBGA1440 ,2.1,2.9,4 ,4,25W,4834,1819
Intel Core i5-4570R @ 2.70GHz,NA,Desktop,FCBGA1364 ,2.7,3.2,4 ,4,65W,4820,1863
Intel Core i5-6500T @ 2.50GHz,$79.30*,Desktop,LGA 1151 ,2.5,3.1,4 ,4,35W,4813,1857
Intel Core i5-4460 @ 3.20GHz,$207.65,Desktop,LGA1150 ,3.2,3.4,4 ,4,84W,4808,1897
Intel Core i3-7350K @ 4.20GHz,$148.99,Desktop,FCLGA1151 ,4.2,,4 ,2,60W,4804,2431
Intel Core i5-3550 @ 3.30GHz,$299.99,Desktop,LGA1155 ,3.3,3.7,4 ,4,77W,4798,2005
Intel Xeon D-1518 @ 2.20GHz,NA,Server,FCBGA1667 ,2.2,,8 ,4,35W,4784,1256
Intel Core i7-3612QE @ 2.10GHz,NA,Laptop,BGA1224 ,2.1,3.1,8 ,4,35W,4783,1658
Intel Core i3-7300 @ 4.00GHz,$159.99*,Desktop,FCLGA1151 ,4.0,,4 ,2,51W,4778,2492
Intel Xeon E3-1230L v3 @ 1.80GHz,$448.50,Server,LGA1150 ,1.8,2.8,8 ,4,25W,4753,1531
AMD Opteron 6220,$196.83*,Server,Socket G34 ,3.0,3.6,8,8,115W,4753,1203
Intel Core i5-4470S @ 3.00GHz,NA,Desktop,LGA1150 ,3.0,,4 ,4,65W,4742,1756
Intel Core i7-3610QE @ 2.30GHz,NA,Laptop,rPGA988B ,2.3,3.3,8 ,4,45W,4730,1653
Intel Xeon E3-1235 @ 3.20GHz,$234.00,Server,LGA1155 ,3.2,3.6,8 ,4,95W,4725,1562
Intel Core i5-4430 @ 3.00GHz,$150.09*,Desktop,LGA1150 ,3.0,3.2,4 ,4,84W,4711,1831
AMD Athlon Silver PRO 3125GE,NA,Desktop,AM4 ,3.4,,4 ,2,35W,4701,2067
Intel Xeon E5-2603 v4 @ 1.70GHz,$224.20,Server,FCLGA2011-3 ,1.7,,6 ,6,85W,4695,1046
Intel Xeon E3-1225 V2 @ 3.20GHz,$68.99*,Server,LGA1155 ,3.2,3.6,4 ,4,77W,4683,1909
Intel Xeon E3-1220 V2 @ 3.10GHz,$399.95,Server,LGA1155 ,3.1,3.5,4 ,4,69W,4680,1923
Intel Atom C3758 @ 2.20GHz,$193.00*,Server,FCBGA1310 ,2.2,,8 ,8,25W,4675,857
Intel Core i5-6300HQ @ 2.30GHz,NA,Laptop,LGA 1151 ,2.3,3.2,4 ,4,45W,4671,1779
AMD Opteron 4284,$59.99*,Server,Socket C32 ,3.0,3.3,8,8,95W,4665,1181
Intel Core i5-4440 @ 3.10GHz,$299.99*,Desktop,FCLGA1150 ,3.1,3.3,4 ,4,84W,4654,1855
Intel Xeon E5-1410 @ 2.80GHz,$44.99*,Server,LGA1356 ,2.8,3.2,8 ,4,80W,4634,1484
Intel Core i5-3570S @ 3.10GHz,$51.09*,Desktop,LGA1155 ,3.1,3.8,4 ,4,65W,4633,2002
Intel Core i5-3470 @ 3.20GHz,$70.70,Desktop,LGA1155 ,3.2,3.6,4 ,4,77W,4629,1932
AMD Athlon 240GE,$119.14,Desktop,AM4 ,3.5,,4 ,2,35W,4628,2003
Intel Core i5-7400T @ 2.40GHz,$330.73*,Desktop,LGA1151 ,2.4,3.0,4 ,4,35W,4611,1812
AMD Ryzen Embedded R1606G,NA,Desktop,FP5 ,2.6,3.5,4 ,2,15W,4544,2044
Intel Core i7-2860QM @ 2.50GHz,$182.01*,Laptop,BGA1224 ,2.5,3.6,8 ,4,45W,4541,1549
Intel Xeon X5667 @ 3.07GHz,$18.04*,Server,LGA1366 ,3.1,3.5,8 ,4,95W,4534,1452
Intel Xeon X5647 @ 2.93GHz,$19.93*,Server,LGA1366 ,2.9,3.2,8 ,4,130W,4522,1368
Intel Core i5-6442EQ @ 1.90GHz,$250.00*,Laptop,FCBGA1440 ,1.9,2.7,4 ,4,25W,4519,1688
Intel Core2 Quad Q9500 @ 2.83GHz,$49.01*,Desktop,LGA775 ,2.8,,4 ,4,95W,2181,1216
Intel Pentium 4415U @ 2.30GHz,NA,Laptop,BGA1356 ,2.3,,4 ,2,15W3,2178,1259
Intel Core i7-920XM @ 2.00GHz,$398.95*,Laptop,PGA988B ,2.0,3.2,8 ,4,55W,2178,1192
Intel Atom C2750 @ 2.41GHz,NA,Server,BGA 1283 ,2.4,2.6,8 ,8,20W,2174,291
Intel Core m7-6Y75 @ 1.20GHz,NA,Laptop,FCBGA1515 ,1.2,3.1,4 ,2,7W,2170,1359
Intel Core i3-5020U @ 2.20GHz,$459.00*,Laptop,FCBGA1168 ,2.2,,4 ,2,15W,2169,1254
Intel Core i3-3220 @ 3.30GHz,$19.99,Desktop,LGA1155 ,3.3,,4 ,2,55W,2167,1731
Intel Core i3-2125 @ 3.30GHz,$143.01,Desktop,LGA1155 ,3.3,,4 ,2,65W,2167,1550
Intel Core M-5Y71 @ 1.20GHz,$281.00*,Laptop,FCBGA1234 ,1.2,2.9,4 ,2,4.5W,2158,1281
Intel Xeon X3350 @ 2.66GHz,$59.99*,Server,LGA775 ,2.7,,4 ,4,95W,2158,1156
AMD A8-7200P,NA,Laptop,FP3 ,2.4,3.3,4,4,35W,2156,1079
AMD Phenom II X4 925,$29.95*,Desktop,AM3 ,2.8,,4 ,4,95W,2148,1151
Intel Atom E3950 @ 1.60GHz,NA,Laptop,BGA1296 ,1.6,2.0,4 ,4,12W,2147,748
AMD Athlon II X4 641 Quad-Core,$79.86*,Desktop,FM1 ,2.8,,4 ,4,100W,2143,1192
Intel Core i7-3517UE @ 1.70GHz,NA,Laptop,BGA1023 ,1.7,2.8,4 ,2,17W,2141,1205
Intel Pentium G3460 @ 3.50GHz,$288.20*,Desktop,LGA1150 ,3.5,,2 ,2,53W,2133,1927
Intel Core i5-2560M @ 2.70GHz,NA,,,2.7,3.4,4 ,2,,2131,1259
Intel Pentium G3440 @ 3.30GHz,$159.94*,Desktop,LGA1150 ,3.3,,2 ,2,53W,2129,1895
Intel Pentium G3430 @ 3.30GHz,$89.99*,Desktop,FCLGA1150 ,3.3,,2 ,2,54W,2129,1891
Intel Pentium N4200 @ 1.10GHz,$228.71*,Laptop,FCBGA1296 ,1.1,2.5,4 ,4,6W3,2128,854
AMD A8-3850 APU,$126.41*,Desktop,FM1 ,2.9,,4 ,4,100W,2119,1182
AMD Athlon X4 640,NA,,,3.0,,4 ,4,95W,2115,1224
Intel Core i3-5010U @ 2.10GHz,$264.99,Laptop,FCBGA1168 ,2.1,,4 ,2,15W3,2114,1231
AMD Athlon II X4 640,$64.02,Desktop,AM3 ,3.0,,4 ,4,95W,2112,1206
Intel Core i5-2415M @ 2.30GHz,NA,Desktop,BGA1023 ,2.3,2.9,4 ,2,35W,2111,1288
Intel Core i7-3517U @ 1.90GHz,NA,Laptop,BGA1023 ,1.9,3.0,4 ,2,17W,2109,1275
Intel Celeron G3930T @ 2.70GHz,$39.95*,Desktop,FCLGA1151 ,2.7,,2 ,2,35W,2109,1650
AMD Phenom II X4 B25,NA,Desktop,AM2+/AM3 ,2.7,,4 ,4,,2108,1040
Intel Core i5-3337U @ 1.80GHz,$225.00*,Laptop,BGA1023 ,1.8,2.7,4 ,2,17W,2107,1297
Intel Pentium G3440T @ 2.80GHz,NA,Desktop,LGA1150 ,2.8,,2 ,2,35W,2107,1615
AMD Phenom II X4 B93,NA,Desktop,AM3 ,2.8,,4 ,4,95W,2104,1141
AMD Athlon II X4 631 Quad-Core,$34.89*,Desktop,FM1 ,2.6,,4 ,4,100W,2095,1121
AMD A6-3650 APU,$23.89*,Desktop,FM1 ,2.6,,4 ,4,100W,2089,1106
AMD Athlon II X4 635,$59.95*,Desktop,AM3 ,2.9,,4 ,4,95W,2084,1182
AMD Opteron 1389,NA,Server,AM2 ,2.9,,4 ,4,75W,2079,1102
AMD Athlon II X4 655,NA,,AM2+ (940-pin) ,3.3,,4 ,4,95W,2078,1473
Intel Core2 Quad Q9400 @ 2.66GHz,$38.01*,Desktop,LGA775 ,2.7,,4 ,4,95W,2077,1146
Intel Pentium 4405U @ 2.10GHz,NA,Laptop,FCBGA1356 ,2.1,,4 ,2,15W,2076,1208
AMD Opteron 2384,"$1,184.00",Server,F (1207) ,2.7,,4 ,4,75W,2074,1074
Intel Core i3-5015U @ 2.10GHz,NA,Laptop,FCBGA1168 ,2.1,,4 ,2,15W,2074,1138
AMD Athlon II X4 630,$48.04,Desktop,AM3 ,2.8,,4 ,4,95W,2072,1137
AMD A10-7400P,NA,Laptop,FP3 ,2.5,3.4,4,4,35W,2069,1066
Intel Pentium G3260 @ 3.30GHz,$80.00,Desktop,LGA1150 ,3.3,,2 ,2,53W,2068,1880
AMD Phenom II X4 B45,NA,,,3.1,,4 ,4,,2065,1221
Intel Core i7-640M @ 2.80GHz,$189.95,Laptop,BGA1288 ,3.5,3.5,4 ,2,35W,2063,1393
Intel Xeon L5420 @ 2.50GHz,$27.50*,Server,LGA771 ,2.5,,4 ,4,50W,2061,1100
AMD Opteron 3250 HE,$99.00*,Server,AM3+ ,2.5,3.5,4,4,45W,2061,1003
Intel Pentium G2140 @ 3.30GHz,$45.00,Desktop,LGA1155 ,3.3,,2 ,2,55W,2059,1837
AMD Opteron 4162 EE,$19.99*,Server,F (1207) ,1.7,,6 ,6,35W,2058,382
Intel Xeon X3230 @ 2.66GHz,$349.95*,Server,LGA775 ,2.7,,4 ,4,95W,2056,1082
Intel Atom C2758 @ 2.40GHz,$214.86*,,BGA 1283 ,2.4,,8 ,8,20W,2056,333
AMD Phenom II X4 920,$27.89*,Desktop,AM2+ ,2.8,,4 ,4,125W,2051,1062
Intel Xeon E3-1220L @ 2.20GHz,NA,Server,LGA1155 ,2.2,3.4,4 ,2,20W,2050,1421
Intel Core i3-3210 @ 3.20GHz,$199.00*,Desktop,LGA1155 ,3.2,,4 ,2,55W,2046,1677
AMD A6-3670 APU,$610.00*,Desktop,FM1 ,2.7,,4 ,4,100W,2045,1121
Intel Pentium G3420T @ 2.70GHz,$159.99*,Desktop,LGA1150 ,2.7,,2 ,2,35W,2044,1563
Intel Core i5-2450M @ 2.50GHz,$68.02*,Laptop,BGA1023 ,2.5,3.1,4 ,2,35W,2041,1258
Intel Core2 Quad Q6700 @ 2.66GHz,$44.04*,Desktop,LGA775 ,2.7,,4 ,4,105W,2041,1083
Intel Core2 Quad Q9505 @ 2.83GHz,$190.00*,Desktop,LGA775 ,2.8,,4 ,4,95W,2039,1185
Intel Pentium G3258 @ 3.20GHz,$99.00,Desktop,FCLGA1150 ,3.2,,2 ,2,53W,2039,1826
Intel Core2 Quad Q9450 @ 2.66GHz,$35.70*,Desktop,LGA775 ,2.7,,4 ,4,95W,2035,1136
Intel Core i3-5005U @ 2.00GHz,NA,Laptop,FCBGA1168 ,2.0,,4 ,2,15W,2035,1167
AMD Phenom II X4 820,$64.95*,Desktop,AM3 ,2.8,,4 ,4,95W,2034,1125
Intel Celeron G3900E @ 2.40GHz,$107.00*,Laptop,FCBGA1440 ,2.4,,2 ,2,35W,2034,1499
Intel Core i3-2102 @ 3.10GHz,$58.00*,Desktop,FCLGA1155 ,3.1,,4 ,2,65W,2029,1400
Intel Xeon E7- 2830 @ 2.13GHz,"$1,779.00*",Server,LGA1567 ,2.1,2.4,4 ,4,105W,2027,559
AMD Athlon II X4 638 Quad-Core,$26.49*,Desktop,FM1 ,2.7,,4 ,4,65W,2026,1182
Intel Core i5-655K @ 3.20GHz,$59.99*,Desktop,LGA1156 ,3.2,3.5,4 ,2,73W,2017,1446
Intel Pentium G3450T @ 2.90GHz,NA,Desktop,LGA1150 ,2.9,,2 ,2,35W,2016,1135
Intel Core m5-6Y54 @ 1.10GHz,NA,Laptop,FCBGA1515 ,1.1,2.7,4 ,2,7W,2013,1205
Intel Core2 Extreme Q9200 @ 2.40GHz,NA,Desktop,,2.4,,4 ,4,,2011,1080
AMD A8-3820 APU,$44.95*,Desktop,FM1 ,2.5,2.8,4 ,4,65W,2010,1097
AMD Phenom II X4 910e,$69.90*,Desktop,AM3 ,2.6,,4 ,4,65W,2006,1069
Intel Core2 Quad Q8400 @ 2.66GHz,$229.95*,Desktop,LGA775 ,2.7,,4 ,4,95W,1999,1146
Intel Core i7-2655LE @ 2.20GHz,NA,Desktop,BGA1023 ,2.2,2.9,4 ,2,25W,1999,1231
Intel Core i5-2430M @ 2.40GHz,$75.02*,Laptop,PGA988B ,2.4,3.0,4 ,2,35W,1998,1249
AMD A10-5757M APU,NA,Laptop,FP2 ,2.5,3.5,4,4,35W,1997,1195
AMD Opteron 2427,$55.00*,Server,F (1207) ,2.2,,6 ,6,75W,1995,386
Intel Core i3-2130 @ 3.40GHz,$87.66*,Desktop,LGA1155 ,3.4,,4 ,2,65W,1993,1604
Intel Pentium G3260T @ 2.90GHz,$89.99*,Desktop,LGA1150 ,2.9,,2 ,2,35W,1993,1661
Intel Pentium G3420 @ 3.20GHz,$64.46,Desktop,FCLGA1150 ,3.2,,2 ,2,54W,1990,1814
Intel Xeon X3320 @ 2.50GHz,$229.50*,Server,LGA775 ,2.5,,4 ,4,95W,1986,1097
Intel Xeon E5420 @ 2.50GHz,$24.99*,Server,LGA771 ,2.5,,4 ,4,80W,1986,1080
AMD Athlon X4 750 Quad Core,NA,Desktop,FM2 ,3.4,3.9,4,4,65W,1986,1338
Intel Core i3-3240T @ 2.90GHz,NA,Desktop,LGA1155 ,2.9,,4 ,2,35W,1981,1517
